@relation gps_clustered

@attribute Instance_number numeric
@attribute udid string
@attribute jingdu numeric
@attribute weidu numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
0,0104df99684c5c10f3c1e2d9180fbd31,0.371084,0.672396,cluster4
1,09ee3c141d69f5179069f3ffc845aba7,0.399338,0.631452,cluster3
2,04b5db3a4b3742f3ac97139b7de92c7b,0.475405,0.678192,cluster8
3,0fd388fb901e9b1679ea60385f60da89,0.404676,0.659883,cluster7
4,0fd388fb901e9b1679ea60385f60da89,0.404289,0.66006,cluster7
5,0fd388fb901e9b1679ea60385f60da89,0.404283,0.66006,cluster7
6,0fd388fb901e9b1679ea60385f60da89,0.404311,0.660064,cluster7
7,0c453e06e18588c63d2cdd389a94273e,0.358397,0.666176,cluster4
8,0c453e06e18588c63d2cdd389a94273e,0.358353,0.666177,cluster4
9,0c453e06e18588c63d2cdd389a94273e,0.358357,0.666175,cluster4
10,0c453e06e18588c63d2cdd389a94273e,0.358357,0.666175,cluster4
11,0c453e06e18588c63d2cdd389a94273e,0.358357,0.666175,cluster4
12,0c453e06e18588c63d2cdd389a94273e,0.358375,0.666169,cluster4
13,0c453e06e18588c63d2cdd389a94273e,0.358381,0.666167,cluster4
14,0c453e06e18588c63d2cdd389a94273e,0.358357,0.666175,cluster4
15,132c337c35f99220b47797296dd86095,0.340546,0.657386,cluster4
16,132c337c35f99220b47797296dd86095,0.340544,0.657385,cluster4
17,163538e6b907b4cf88e88daf29f8d32a,0.531541,0.703331,cluster2
18,163538e6b907b4cf88e88daf29f8d32a,0.531436,0.703373,cluster2
19,163538e6b907b4cf88e88daf29f8d32a,0.531383,0.703394,cluster2
20,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
21,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
22,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
23,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
24,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
25,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
26,1816e19a48c2220b81dae8b87844a73b,0.357536,0.672477,cluster4
27,202b1ff0f55f55d800fab647df364cc6,0.371122,0.669762,cluster4
28,202b1ff0f55f55d800fab647df364cc6,0.371119,0.669761,cluster4
29,243347c6fcccd26e12de853c3cf5459c,0.264063,0.617931,cluster9
30,243347c6fcccd26e12de853c3cf5459c,0.264064,0.617947,cluster9
31,243347c6fcccd26e12de853c3cf5459c,0.264064,0.617957,cluster9
32,243347c6fcccd26e12de853c3cf5459c,0.264064,0.617964,cluster9
33,269968c3484316bafaffff105023a9c8,0.471005,0.671269,cluster8
34,269968c3484316bafaffff105023a9c8,0.471005,0.671268,cluster8
35,269968c3484316bafaffff105023a9c8,0.471005,0.671268,cluster8
36,1dd0a2dea7aa68b655f897d83093b2eb,0.341389,0.675239,cluster4
37,1dd0a2dea7aa68b655f897d83093b2eb,0.341389,0.675239,cluster4
38,1dd0a2dea7aa68b655f897d83093b2eb,0.341389,0.675239,cluster4
39,202b1ff0f55f55d800fab647df364cc6,0.371119,0.669761,cluster4
