UDID,TO_ACTION,secondCateName,GPS_geo
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,GPS,,"(39.100742,121.893013)"
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5a9c7de6df554178,/viewAd,zhengzu,
5ab106feb6218a0f,GPS,,"(23.282026,113.781082)"
5ab106feb6218a0f,GPS,,"(23.282026,113.781082)"
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab106feb6218a0f,/viewAd,shouji,
5ab69efd7d9ac253,GPS,,"(22.897127,112.877289)"
5ab69efd7d9ac253,GPS,,"(22.897112,112.877274)"
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,GPS,,"(22.897112,112.877274)"
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,GPS,,"(22.897064,112.877274)"
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ab69efd7d9ac253,GPS,,"(22.897087,112.877274)"
5ab69efd7d9ac253,/viewAd,ershouqiche,
5ae64231404e9306,GPS,,"(35.329128,113.894653)"
5c0ea43565d3a254,GPS,,"(31.523750,120.487930)"
5c0ea43565d3a254,GPS,,"(31.519096,120.497559)"
5c0ea43565d3a254,GPS,,"(31.523750,120.487930)"
5c0ea43565d3a254,/viewAd,nanzhaonv,
5c0ea43565d3a254,/viewAd,nanzhaonv,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c0ea43565d3a254,/viewAd,juhui,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.836884,114.293976)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.843182,114.251579)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.843281,114.252228)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,qitazhuanrang,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.822662,114.292519)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.822632,114.292427)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.843281,114.252228)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,jiaju,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,jiaju,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,jiaju,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.830219,114.246368)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.829674,114.245964)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,fushi,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,fushi,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,fushi,
5c28e987d048aa6e,GPS,,"(43.881771,125.281960)"
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
